stationcode,name,is_installed,capacity,numdocksavailable,numbikesavailable,mechanical,ebike,is_renting,is_returning,duedate,coordonnees_geo,nom_arrondissement_communes,code_insee_commune,station_opening_hours
26002,Redoute - Les Courtilles,OUI,40,13,27,14,13,OUI,OUI,2026-02-07T22:04:40+00:00,"{'lon': 2.2836696356535, 'lat': 48.929867194519}",Asnières-sur-Seine,92004,
12151,Gare de Lyon - Place Louis Armand,OUI,60,45,15,14,1,OUI,OUI,2026-02-07T22:04:43+00:00,"{'lon': 2.3726498446286, 'lat': 48.845515089794}",Paris,75056,
19026,Place de Rhin et Danube,OUI,30,28,2,0,2,OUI,OUI,2026-02-07T21:57:01+00:00,"{'lon': 2.392586767673493, 'lat': 48.88192765861766}",Paris,75056,
16026,Ranelagh - Mozart,OUI,23,14,9,2,7,OUI,OUI,2026-02-07T22:04:32+00:00,"{'lon': 2.2704418, 'lat': 48.8554439}",Paris,75056,
11023,Saint-Maur - Roquette,OUI,46,27,14,10,4,OUI,OUI,2026-02-07T22:04:36+00:00,"{'lon': 2.383553994571467, 'lat': 48.858688774062955}",Paris,75056,
10107,Gare du Nord - Hôpital Lariboisière,OUI,49,45,4,1,3,OUI,OUI,2026-02-07T22:01:40+00:00,"{'lon': 2.352339, 'lat': 48.881949}",Paris,75056,
45003,11 Novembre 1918 - 8 Mai 1945,OUI,36,24,10,2,8,OUI,OUI,2026-02-07T22:04:42+00:00,"{'lon': 2.5382421165704727, 'lat': 48.80889533774377}",Champigny-sur-Marne,94017,
17043,Belidor - Gouvion-Saint-Cyr,OUI,39,33,6,6,0,OUI,OUI,2026-02-07T22:04:38+00:00,"{'lon': 2.2854680567979813, 'lat': 48.88022154052015}",Paris,75056,
11002,Roquette - Thiéré,OUI,23,0,21,12,9,OUI,OUI,2026-02-07T22:03:54+00:00,"{'lon': 2.3733686318721463, 'lat': 48.85507930579506}",Paris,75056,
16039,Exelmans - Versailles,OUI,49,36,13,7,6,OUI,OUI,2026-02-07T22:04:25+00:00,"{'lon': 2.264390252530575, 'lat': 48.84097491091973}",Paris,75056,
